"acres","trscode","point.lat","point.lon","polygon.lat","polygon.lon"
76.7211825,"T07R33E22",46.0722148796251,-118.668753948992,46.0793474168694,-118.658361703145
76.7211825,"T07R33E22",46.0722148796251,-118.668753948992,46.0649109297408,-118.658337563264
266.2203424,"T07R33E23",46.0718606395863,-118.647835858239,46.0788714924067,-118.637312732595
266.2203424,"T07R33E23",46.0718606395863,-118.647835858239,46.0642881543343,-118.637403760064
266.2203424,"T07R33E23",46.0718606395863,-118.647835858239,46.0649109297408,-118.658337563264
266.2203424,"T07R33E23",46.0718606395863,-118.647835858239,46.0793474168694,-118.658361703145
266.2203424,"T07R33E23",46.0718606395863,-118.647835858239,46.0788714924067,-118.637312732595
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0639797002971,-118.616768687893
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0640541315974,-118.621998324927
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0641282276216,-118.62721253926
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0642881543343,-118.637403760064
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0788714924067,-118.637312732595
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0785831549372,-118.616921909083
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0712875464065,-118.616787966271
487.664675,"T07R33E24",46.0714140391664,-118.627085454322,46.0639797002971,-118.616768687893
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0567927212317,-118.616796515812
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0494639203644,-118.616857703705
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0497081690231,-118.63769930597
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0642881543343,-118.637403760064
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0641282276216,-118.62721253926
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0640541315974,-118.621998324927
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0639797002971,-118.616768687893
135.5193052,"T07R33E25",46.0568461479499,-118.627186430515,46.0567927212317,-118.616796515812
281.5466496,"T07R33E26",46.0572301835706,-118.648046377545,46.0642881543343,-118.637403760064
281.5466496,"T07R33E26",46.0572301835706,-118.648046377545,46.0497081690231,-118.63769930597
281.5466496,"T07R33E26",46.0572301835706,-118.648046377545,46.0499539264245,-118.658435463893
281.5466496,"T07R33E26",46.0572301835706,-118.648046377545,46.0574285724072,-118.658508889365
281.5466496,"T07R33E26",46.0572301835706,-118.648046377545,46.0648515858663,-118.658361367869
281.5466496,"T07R33E26",46.0572301835706,-118.648046377545,46.0649109297408,-118.658337563264
281.5466496,"T07R33E26",46.0572301835706,-118.648046377545,46.0642881543343,-118.637403760064
77.49722418,"T07R33E29",46.0577466949891,-118.710733822689,46.0502545014726,-118.700385045307
77.49722418,"T07R33E29",46.0577466949891,-118.710733822689,46.0504430942942,-118.721192281769
77.49722418,"T07R33E29",46.0577466949891,-118.710733822689,46.0650752150432,-118.721255984233
77.49722418,"T07R33E29",46.0577466949891,-118.710733822689,46.0651637279408,-118.700233165221
77.49722418,"T07R33E29",46.0577466949891,-118.710733822689,46.0502545014726,-118.700385045307
63.49734386,"T07R33E30",46.057876893003,-118.731956548884,46.0504430942942,-118.721192281769
63.49734386,"T07R33E30",46.057876893003,-118.731956548884,46.050697736513,-118.742714159296
63.49734386,"T07R33E30",46.057876893003,-118.731956548884,46.0653161109407,-118.742669902848
63.49734386,"T07R33E30",46.057876893003,-118.731956548884,46.0650752150432,-118.721255984233
63.49734386,"T07R33E30",46.057876893003,-118.731956548884,46.0504430942942,-118.721192281769
481.162333,"T07R33E31",46.043269216655,-118.731985544391,46.0359065272416,-118.721261348651
481.162333,"T07R33E31",46.043269216655,-118.731985544391,46.036010127565,-118.742700748251
481.162333,"T07R33E31",46.043269216655,-118.731985544391,46.050697736513,-118.742714159296
481.162333,"T07R33E31",46.043269216655,-118.731985544391,46.0504430942942,-118.721192281769
481.162333,"T07R33E31",46.043269216655,-118.731985544391,46.0359065272416,-118.721261348651
277.4098991,"T07R33E32",46.0430692789228,-118.710819878076,46.0356711634002,-118.700463164644
277.4098991,"T07R33E32",46.0430692789228,-118.710819878076,46.0359065272416,-118.721261348651
277.4098991,"T07R33E32",46.0430692789228,-118.710819878076,46.0504430942942,-118.721192281769
277.4098991,"T07R33E32",46.0430692789228,-118.710819878076,46.0502545014726,-118.700385045307
277.4098991,"T07R33E32",46.0430692789228,-118.710819878076,46.0356711634002,-118.700463164644
118.4289648,"T07R33E33",46.0429294346581,-118.690048171528,46.0428903289739,-118.679756846297
118.4289648,"T07R33E33",46.0429294346581,-118.690048171528,46.0355712511143,-118.679591722804
118.4289648,"T07R33E33",46.0429294346581,-118.690048171528,46.0356711634002,-118.700463164644
118.4289648,"T07R33E33",46.0429294346581,-118.690048171528,46.0502545014726,-118.700385045307
118.4289648,"T07R33E33",46.0429294346581,-118.690048171528,46.0502628833758,-118.684846673186
118.4289648,"T07R33E33",46.0429294346581,-118.690048171528,46.0502283499347,-118.679666154104
118.4289648,"T07R33E33",46.0429294346581,-118.690048171528,46.0428903289739,-118.679756846297
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0499539264245,-118.658435463893
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0352803990738,-118.658724639553
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0354611129064,-118.669322382662
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0355712511143,-118.679591722804
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0428903289739,-118.679756846297
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0502283499347,-118.679666154104
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.05020538352,-118.674394607554
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0501822494672,-118.669124066833
65.12285181,"T07R33E34",46.0428107100824,-118.669133539533,46.0499539264245,-118.658435463893
300.364883,"T07R33E35",46.0425095943838,-118.648189242547,46.0424469262955,-118.637774072547
300.364883,"T07R33E35",46.0425095943838,-118.648189242547,46.0351260044172,-118.63785688575
300.364883,"T07R33E35",46.0425095943838,-118.648189242547,46.0352803990738,-118.658724639553
300.364883,"T07R33E35",46.0425095943838,-118.648189242547,46.0499539264245,-118.658435463893
300.364883,"T07R33E35",46.0425095943838,-118.648189242547,46.0497081690231,-118.63769930597
300.364883,"T07R33E35",46.0425095943838,-118.648189242547,46.0424469262955,-118.637774072547
30.70978376,"T07R34E12",46.0999715929899,-118.502886547762,46.0926245191498,-118.492805201317
30.70978376,"T07R34E12",46.0999715929899,-118.502886547762,46.0927012973829,-118.5132505072
